"invx1  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
"nand2x2  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.01039435,0.01145915,0.01428774,0.02132918,0.03817908,0.08094185,0.1930458
0.0231 ns,0.01351675,0.01444393,0.01702922,0.02380614,0.04075979,0.08386035,0.1961945
0.0531 ns,0.01947141,0.0208578,0.02414093,0.03084374,0.04742082,0.09067729,0.2033416
0.1225 ns,0.02772206,0.02987276,0.03501134,0.04557792,0.06454101,0.1072826,0.2200884
0.2823 ns,0.04032629,0.04349824,0.05123375,0.06754465,0.09729566,0.1476005,0.2595946
0.6507 ns,0.06285628,0.06720674,0.07789302,0.1013208,0.1464997,0.2251043,0.3533639
1.5000 ns,0.1069283,0.1127199,0.1271438,0.1592143,0.2231733,0.3420252,0.5409341

"nand2x2  |  cell_fall  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.008757237,0.009432198,0.01120633,0.01564121,0.02660503,0.05516397,0.1306034
0.0231 ns,0.01087598,0.01163062,0.01338657,0.01787151,0.02897958,0.05765518,0.1331521
0.0531 ns,0.01339566,0.01451635,0.01730259,0.02319693,0.0346909,0.06348861,0.1390781
0.1225 ns,0.01531279,0.01707836,0.02133221,0.0302135,0.04681135,0.07728528,0.1529103
0.2823 ns,0.01450314,0.01713742,0.0234125,0.03684025,0.06194246,0.1059831,0.1851891
0.6507 ns,0.00518549,0.009063574,0.01843658,0.03833693,0.07582701,0.1423608,0.2544621
1.5000 ns,-0.0262459,-0.02065991,-0.007010537,0.02227169,0.07775698,0.1769566,0.3460486

"nand2x2  |  rise_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.006659785,0.007839564,0.01111438,0.01988507,0.04293109,0.1043404,0.2673071
0.0231 ns,0.006931862,0.007914917,0.01111125,0.0198917,0.042935,0.1043415,0.2673079
0.0531 ns,0.01167425,0.01239293,0.01435126,0.02112931,0.0429576,0.1043477,0.2673122
0.1225 ns,0.01902446,0.02063656,0.02384188,0.03121118,0.04746841,0.1043887,0.2673196
0.2823 ns,0.0304484,0.0327983,0.0385628,0.05009617,0.07047139,0.1150567,0.2673249
0.6507 ns,0.05035729,0.05365286,0.06197927,0.08024493,0.113482,0.1674581,0.2887719
1.5000 ns,0.09141533,0.09532553,0.105754,0.1304253,0.1810443,0.2692463,0.4059252

"nand2x2  |  fall_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.004740689,0.005464403,0.007457236,0.01279052,0.02678846,0.06405313,0.1629197
0.0231 ns,0.00554676,0.006090564,0.007748002,0.01280366,0.02679867,0.06405794,0.1629215
0.0531 ns,0.008559475,0.009268179,0.01137672,0.01547498,0.02741184,0.06407305,0.162931
0.1225 ns,0.01325133,0.01498916,0.0176408,0.02349738,0.03541153,0.06608361,0.1629563
0.2823 ns,0.02229679,0.02418322,0.02817304,0.03710778,0.05375628,0.08477759,0.166901
0.6507 ns,0.04032968,0.04286433,0.04881852,0.06145556,0.08552394,0.1292845,0.2081739
1.5000 ns,0.07855069,0.08180032,0.08990895,0.1078045,0.1420412,0.2049581,0.3158066


"nand2x4  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
